PID,EVENT NAME,SIZE,NUM,UTime,STime,NVCSW,NIVCSW,ENTER TIME, RETURN TIME, TOTAL TIME
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.32, 1660551799.32, 0.11
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.32, 1660551799.32, 0.11
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.32, 1660551799.32, 0.11
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.32, 1660551799.32, 0.11
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.32, 1660551799.32, 0.11
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.32, 1660551799.32, 0.11
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.32, 1660551799.32, 0.11
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.32, 1660551799.32, 0.10
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.32, 1660551799.32, 0.11
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.32, 1660551799.32, 0.11
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.32, 1660551799.32, 0.11
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.32, 1660551799.32, 0.10
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.32, 1660551799.32, 0.11
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.32, 1660551799.32, 0.12
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.32, 1660551799.32, 0.11
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.32, 1660551799.32, 0.10
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.32, 1660551799.32, 0.11
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.32, 1660551799.32, 0.11
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.32, 1660551799.32, 0.11
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.32, 1660551799.32, 0.11
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.32, 1660551799.32, 0.11
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.32, 1660551799.32, 0.10
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.32, 1660551799.32, 0.11
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.32, 1660551799.32, 0.10
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.32, 1660551799.32, 0.11
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.32, 1660551799.32, 0.11
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.32, 1660551799.32, 0.11
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.32, 1660551799.33, 0.11
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.33, 1660551799.33, 0.10
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.33, 1660551799.33, 0.10
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.33, 1660551799.33, 0.10
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.33, 1660551799.33, 0.09
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.33, 1660551799.33, 0.09
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.33, 1660551799.33, 0.10
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.33, 1660551799.33, 0.10
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.33, 1660551799.33, 0.10
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.33, 1660551799.33, 0.09
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.33, 1660551799.33, 0.10
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.33, 1660551799.33, 0.10
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.33, 1660551799.33, 0.10
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.33, 1660551799.33, 0.09
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.33, 1660551799.33, 0.09
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.33, 1660551799.33, 0.10
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.33, 1660551799.33, 0.10
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.33, 1660551799.33, 0.09
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.33, 1660551799.33, 0.10
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.33, 1660551799.33, 0.09
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.33, 1660551799.33, 0.10
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.33, 1660551799.33, 0.10
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.33, 1660551799.33, 0.10
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.33, 1660551799.33, 0.09
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.33, 1660551799.33, 0.10
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.33, 1660551799.33, 0.10
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.33, 1660551799.33, 0.09
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.33, 1660551799.33, 0.09
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.33, 1660551799.33, 0.09
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.33, 1660551799.33, 0.10
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.33, 1660551799.33, 0.09
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.33, 1660551799.33, 0.09
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.33, 1660551799.33, 0.09
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.33, 1660551799.33, 0.09
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.33, 1660551799.33, 0.10
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.33, 1660551799.33, 0.09
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.33, 1660551799.33, 0.09
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.33, 1660551799.33, 0.10
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.33, 1660551799.33, 0.09
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.33, 1660551799.33, 0.09
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.33, 1660551799.33, 0.09
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.33, 1660551799.33, 0.09
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.33, 1660551799.33, 0.09
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.33, 1660551799.33, 0.09
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.34, 1660551799.34, 0.09
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.34, 1660551799.34, 0.09
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.34, 1660551799.34, 0.10
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.34, 1660551799.34, 0.09
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.34, 1660551799.34, 0.10
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.34, 1660551799.34, 0.09
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.34, 1660551799.34, 0.10
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.34, 1660551799.34, 0.09
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.34, 1660551799.34, 0.09
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.34, 1660551799.34, 0.09
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.34, 1660551799.34, 0.10
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.34, 1660551799.34, 0.09
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.34, 1660551799.34, 0.09
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.34, 1660551799.34, 0.09
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.34, 1660551799.34, 0.09
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.34, 1660551799.34, 0.09
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.34, 1660551799.34, 0.09
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.34, 1660551799.34, 0.09
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.34, 1660551799.34, 0.09
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.34, 1660551799.34, 0.09
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.34, 1660551799.34, 0.09
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.34, 1660551799.34, 0.10
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.34, 1660551799.34, 0.09
1365956, b'replicationFeedSlaves', 0, 0, 4.00, 0.00, 0, 0, 1660551799.34, 1660551799.34, 0.09
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.34, 1660551799.34, 0.09
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.34, 1660551799.34, 0.09
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.34, 1660551799.34, 0.10
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.34, 1660551799.34, 0.09
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.34, 1660551799.34, 0.09
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.34, 1660551799.34, 0.09
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.34, 1660551799.34, 0.09
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.34, 1660551799.34, 0.10
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.34, 1660551799.34, 0.09
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.34, 1660551799.34, 0.09
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.34, 1660551799.34, 0.10
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.34, 1660551799.34, 0.10
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.34, 1660551799.34, 0.10
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.34, 1660551799.34, 0.09
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.34, 1660551799.34, 0.09
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.34, 1660551799.34, 0.09
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.34, 1660551799.34, 0.09
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.35, 1660551799.35, 0.09
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.35, 1660551799.35, 0.09
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.35, 1660551799.35, 0.09
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.35, 1660551799.35, 0.09
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.35, 1660551799.35, 0.09
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.35, 1660551799.35, 0.09
1365956, b'replicationFeedSlaves', 0, 0, 0.00, 0.00, 0, 0, 1660551799.35, 1660551799.35, 0.09
